 --------~Onbekend
 00803001~Leeuwarden;Transvaalwijk
 00803002~Leeuwarden;Bonifatius
 00803003~Leeuwarden;Rengerspark
 00803004~Leeuwarden;Vogelwijk
 00803005~Leeuwarden;Sonnenborgh
 00803006~Leeuwarden;Valeriuskwartier
 00803007~Leeuwarden;Magere Weide
 00803101~Leeuwarden;Westeinde
 00803102~Leeuwarden;Buitengebied Noordwest
 00803201~Leeuwarden;Vossepark
 00803202~Leeuwarden;Helicon
 00803203~Leeuwarden;Harlingervaart Noord
 00803204~Leeuwarden;Spoordok
 00804001~Leeuwarden;Hollanderwijk
 00804002~Leeuwarden;Gerard Dou
 00804003~Leeuwarden;Julianapark
 00804004~Leeuwarden;Jan van Scorelbuurt
 00804101~Leeuwarden;Nijlân
 00804102~Leeuwarden;De Zwette I Harlingervaart
 00804103~Leeuwarden;De Zwette II Zwettehaven
 00804104~Leeuwarden;De Zwette III Schenkenschans
 00804105~Leeuwarden;De Zwette IV Businesspark
 00804106~Leeuwarden;De Zwette V Newton
 00804107~Leeuwarden;De Zwette VI Deinumerpolder
 00804108~Leeuwarden;EnergieCampus Sylsterrak
 00804109~Leeuwarden;Buitengebied De Zwette
 00804110~Leeuwarden;Buitengebied West
 00805001~Leeuwarden;Heechterp
 00805002~Leeuwarden;Schieringen
 00805003~Leeuwarden;De Centrale
 00805101~Leeuwarden;Camminghaburen-Noord
 00805102~Leeuwarden;Camminghaburen-Midden
 00805103~Leeuwarden;Camminghaburen-Zuid
 00805104~Leeuwarden;Grote Wielen
 00805105~Leeuwarden;De Groene Ster
 00806001~Leeuwarden;Bilgaard
 00806002~Leeuwarden;Havankpark
 00806003~Leeuwarden;Vierhuisterweg e.o.
 00806101~Leeuwarden;Vrijheidswijk-West
 00806102~Leeuwarden;Vrijheidswijk-Oost
 00806201~Leeuwarden;Lekkum
 00806202~Leeuwarden;Snakkerburen
 00806203~Leeuwarden;Buitengebied Lekkum en Miedum
 00806204~Leeuwarden;Blitsaerd
 00806205~Leeuwarden;Jelsum
 00806206~Leeuwarden;Buitengebied Jelsum
 00806207~Leeuwarden;Koarnjum
 00806208~Leeuwarden;Buitengebied Koarnjum
 00806209~Leeuwarden;Britsum
 00806210~Leeuwarden;Buitengebied Britsum
 00806301~Leeuwarden;Stiens
 00806302~Leeuwarden;Buitengebied Stiens
 00806303~Leeuwarden;Feinsum
 00806304~Leeuwarden;Buitengebied Feinsum
 00806305~Leeuwarden;Hijum
 00806306~Leeuwarden;Buitengebied Hijum
 00806307~Leeuwarden;Alde Leie
 00807001~Leeuwarden;Aldlân-Oost
 00807002~Leeuwarden;Aldlân-West
 00807003~Leeuwarden;Rapenburg
 00807004~Leeuwarden;Hemrik
 00807101~Leeuwarden;Goutum
 00807201~Leeuwarden;Hempens/Teerns
 00807202~Leeuwarden;Buitengebied Hempens
 00807203~Leeuwarden;Zuiderburen
 00807301~Leeuwarden;Techum
 00807302~Leeuwarden;Wiarda
 00807303~Leeuwarden;De Werp
 00807304~Leeuwarden;De Zuidlanden
 00807305~Leeuwarden;De Klamp
 00807306~Leeuwarden;Unia
 00807401~Leeuwarden;Havenstêd
 00807402~Leeuwarden;Barrahûs
 00807403~Leeuwarden;Wetterstêd
 00807404~Leeuwarden;De Fellingen
 00807405~Leeuwarden;Boksumerhoeke
 00808001~Leeuwarden;Wirdum
 00808002~Leeuwarden;Swichum
 00808003~Leeuwarden;Buitengebied Wirdum
 00808004~Leeuwarden;Wergea
 00808005~Leeuwarden;Buitengebied Wergea
 00808006~Leeuwarden;Warstiens
 00808007~Leeuwarden;Warten
 00808008~Leeuwarden;Buitengebied Warten
 00808101~Leeuwarden;Wytgaard
 00808102~Leeuwarden;Buitengebied Wytgaard
 00808103~Leeuwarden;Mantgum
 00808104~Leeuwarden;Buitengebied Mantgum
 00808105~Leeuwarden;Weidum
 00808106~Leeuwarden;Buitengebied Weidum
 00808107~Leeuwarden;Jellum
 00808108~Leeuwarden;Bears
 00808109~Leeuwarden;Jorwert
 00808110~Leeuwarden;Buitengebied Jorwert
 00808111~Leeuwarden;Hilaard
 00808112~Leeuwarden;Buitengebied Hilaard
 00808113~Leeuwarden;Húns
 00808114~Leeuwarden;Leons
 00808115~Leeuwarden;Baard
 00808116~Leeuwarden;Easterlittens
 00808117~Leeuwarden;Buitengebied Easterlittens
